job_id,job_name,job_location,education_background,job_class,id_job_class
0,软件开发工程师,"中国/深圳,中国/上海,中国/杭州,中国/东莞,中国/北京,中国/南京,中国/武汉,中国/西安,中国/成都,中国/苏州,中国/济南,中国/长沙",国内本硕,研发类,1
1,硬件技术工程师,"中国/深圳,中国/上海,中国/东莞,中国/北京,中国/南京,中国/杭州,中国/武汉,中国/西安,中国/成都,中国/苏州,中国/长春,中国/长沙,中国/济南",国内本硕,研发类,1
2,芯片与器件设计工程师,"中国/深圳,中国/上海,中国/东莞,中国/北京,中国/南京,中国/杭州,中国/西安,中国/成都,中国/武汉,中国/苏州,中国/长春",国内本硕,研发类,1
3,AI工程师,"中国/深圳,中国/东莞,中国/北京,中国/上海,中国/南京,中国/杭州,中国/成都,中国/西安,中国/武汉,中国/苏州,中国/长沙,中国/济南,中国/合肥",国内本硕,研发类,1
4,华为云BD（小语种）,中国/深圳,国内本硕,销售类,2
5,华为云BD,中国/深圳,国内本硕,销售类,2
6,芯片与器件销售经理,"中国/深圳,中国/上海",国内本硕,销售类,2
7,客户经理（小语种）,中国/深圳,国内本硕,销售类,2
8,客户经理,中国/深圳,国内本硕,销售类,2
9,审计专员,中国/深圳,国内本硕,审计类,3
10,技术采购工程师,"中国/东莞,中国/深圳",国内本硕,供应链类,4
11,消费者管理培训生,中国/深圳,国内本硕,销售类,2
12,消费者服务经理,"中国/深圳,中国/西安",国内本硕,服务类,5
13,云计算服务工程师,"中国/苏州,中国/西安,中国/成都,中国/贵阳,中国/深圳,中国/东莞",国内本硕,服务类,5
14,公共关系经理,中国/深圳,国内本硕,销售类,2
15,数字化IT应用工程师,"中国/深圳,中国/武汉,中国/北京,中国/南京",国内本硕,研发类,1
16,财经数字化工程师,中国/深圳,国内本硕,财经类,6
17,财经专员,中国/深圳,国内本硕,财经类,6
18,企业发展分析员,中国/深圳,国内本硕,销售类,2
19,数字能源BD（小语种）,中国/深圳,国内本硕,销售类,2
20,数字能源BD,中国/深圳,国内本硕,销售类,2
21,云计算开发工程师,"中国/深圳,中国/北京,中国/东莞,中国/杭州,中国/上海,中国/西安,中国/南京,中国/成都,中国/武汉,中国/苏州,中国/济南,中国/长沙",国内本硕,研发类,1
22,自动化控制工程师,"中国/深圳,中国/东莞,中国/上海,中国/西安,中国/武汉,中国/北京,中国/杭州,中国/南京,中国/成都",国内本硕,研发类,1
23,热设计工程师,"中国/深圳,中国/东莞,中国/上海,中国/北京,中国/成都,中国/西安,中国/武汉,中国/杭州,中国/南京",国内本硕,研发类,1
24,智能制造与精密制造研发工程师,"中国/武汉,中国/深圳,中国/东莞,中国/上海,中国/苏州,中国/西安,中国/杭州,中国/北京,中国/南京,中国/成都",国内本硕,研发类,1
25,ID与UX设计师,"中国/深圳,中国/上海,中国/东莞,中国/杭州,中国/南京,中国/武汉,中国/北京,中国/西安,中国/成都,中国/苏州",国内本硕,研发类,1
26,网络安全与隐私保护工程师,"中国/上海,中国/深圳,中国/东莞,中国/北京,中国/武汉,中国/南京,中国/杭州,中国/成都,中国/苏州,中国/西安,中国/长沙,中国/济南",国内本硕,研发类,1
27,结构与材料工程师,"中国/深圳,中国/北京,中国/东莞,中国/上海,中国/武汉,中国/西安,中国/杭州,中国/成都,中国/长春,中国/南京",国内本硕,研发类,1
28,测试工程师,"中国/深圳,中国/西安,中国/杭州,中国/北京,中国/上海,中国/东莞,中国/武汉,中国/成都,中国/南京,中国/苏州,中国/长沙",国内本硕,研发类,1
29,技术研究工程师,"中国/深圳,中国/北京,中国/东莞,中国/南京,中国/杭州,中国/上海,中国/成都,中国/武汉,中国/西安,中国/苏州,中国/长春,中国/合肥",国内本硕,研发类,1
30,算法工程师,"中国/深圳,中国/西安,中国/东莞,中国/北京,中国/上海,中国/武汉,中国/南京,中国/杭州,中国/成都,中国/苏州,中国/长沙,中国/济南,中国/合肥,中国/长春",国内本硕,研发类,1
31,知识产权工程师,"中国/深圳,中国/北京,中国/上海",国内本硕,法务类,7
32,律师（董秘方向）,中国/深圳,国内本硕,法务类,7
33,知识产权律师,中国/深圳,国内本硕,法务类,7
34,涉外律师,中国/深圳,国内本硕,法务类,7
35,智能制造与精密制造技术工程师,中国/东莞,国内本硕,供应链类,4
36,供应链管理工程师,"中国/东莞,中国/深圳",国内本硕,供应链类,4
37,人力资源专员,"中国/深圳,中国/东莞",国内本硕,人力资源类,8
38,信息体验工程师,"中国/深圳,中国/成都,中国/西安,中国/杭州,中国/上海,中国/苏州,中国/东莞,中国/武汉,中国/北京",国内本硕,研发类,1
39,产品数据工程师,"中国/上海,中国/深圳,中国/杭州,中国/南京,中国/东莞",国内本硕,研发类,1
